S.N.,Owner,Vehicle_Number,GPS_Vendor,Engine,Chasis,Branch,imei,ip,sim_number,port,type,makeYear,MakeCompany,MakeModel,Darta Miti,nepali_darta_miti,english_darta_miti
112,Worldlink Communications Ltd.,BA 17 CHA 4652,telematics,275IDI06CSYS31610,MAT445554HZC11207,Birtamod,864893031007837,864893031007837,9803567153,10200,four wheeler,,Tata Motors,ACE Ace,2074-Baishakh-22,2074-01-22,2017-05-05
113,Worldlink Communications Ltd.,BA 17 CHA 4654,telematics,275IDI06CSYS32480,MAT445554HZC11552,Hetauda,865011030753207,865011030753207,9820105723,10200,four wheeler,,Tata Motors,ACE Ace,2074-Baishakh-22,2074-01-22,2017-05-05
114,Worldlink Communications Ltd.,BA 7 CHA 8162,track-amala,483D2TC4910C718126,MAT37408599P31997,Gathagar,867844000751407,867844000751407,,11603,four wheeler,,Tata Motors,Telcoline,2066-Magh-25,2066-10-25,2010-02-08
115,Worldlink Communications Ltd.,BA 17 CHA 4989,telematics,275IDI06CSYS31083,MAT445554HZC10913,Amarsingh,865011033496614,865011033496614,9820105672,10200,four wheeler,,Tata Motors,ACE Ace,2074-Baishakh-29,2074-01-29,2017-05-12
116,Worldlink Communications Ltd.,BA 17 CHA 4988,telematics,275IDI06CSYS31884,MAT445554HZC11221,Dhangadi,864893031006474,864893031006474,9801919589,10200,four wheeler,,Tata Motors,ACE Ace,2074-Baishakh-29,2074-01-29,2017-05-12
117,Worldlink Communications Ltd.,BA 17 CHA 4990,telematics,275IDI06CSYS31613,MAT445554HZC12267,Bhairahawa,864893031009684,864893031009684,9801907387,10200,four wheeler,,Tata Motors,ACE Ace,2074-Baishakh-29,2074-01-29,2017-05-12
118,Worldlink Communications Ltd.,BA11CHA 7618,avlview,2.2LDICORO9BVYJ002671,MAT617033ENB01361,head office,865733029349040,865733029349040,9818705180,,SUV Car,2015,Tata Motors,SAFARI STORME LX,2071-Baishakh-19,2071-01-19,2014-05-02
119,Worldlink Communications Ltd.,BA11CHA 8199,track-amala,4708177,1580874,Boudha,865205038013347,865205038013347,,10218,four wheeler,,Maruti Suzuki,Omni Van,2071-Baishakh-30,2071-01-30,2014-05-13
120,Worldlink Communications Ltd.,BA15CHA 431,track-amala,4888496,1679831,Baluwatar,865205038013172,865205038013172,,10218,four wheeler,,Maruti Suzuki,Omni Van,2072-Jestha-20,2072-02-20,2015-06-03
121,Worldlink Communications Ltd.,Pra-3-01-022 cha 5661,telematics,4SPCR10CPY611421,MAT464329KSRO3320,Kusunti,865011030752035,865011030752035,9801908455,10200,four wheeler,,Tata Motors,Xenon Yodha,2076-Ashoj-07,2076-06-07,2019-09-24
122,Worldlink Communications Ltd.,Ga 2 cha 265,telematics,GHE4D65457,MA1RU4GHKE3D3134,Bagar,864893031006516,864893031006516,9820118315,10200,four wheeler,,Mahendra,Bolero,2071-Jestha-21,2071-02-21,2014-06-04
123,Worldlink Communications Ltd.,BA15CHA 568,track-amala,GHG4B69997,MA1RU2GHKG3C91977,Kusunti,352672100959691,352672100959691,,10202,four wheeler,,Mahendra,Bolero,2073-Baishakh-31,2073-01-31,2016-05-13
124,Worldlink Communications Ltd.,BA14CHA 8366,track-amala,F8BIN4875751,MA3EVB1150.1668752,Enterprise office-Baneshwor,867844000749823,867844000749823,,11603,four wheeler,,Maruti Suzuki,Omni Van,2073-Baishakh-14,2073-01-14,2016-04-26
125,Worldlink Communications Ltd.,BA14CHA 8924,track-amala,GHG4A62653,MA1RU2GHKG3B90427,Koteshwor,865205038011853,865205038011853,,10218,four wheeler,,Mahendra,Bolero,2072-Chaitra-15,2072-12-15,2016-03-28
126,Worldlink Communications Ltd.,BA13CHA 3101,track-amala,GHF4C59725,MA1RV4GHKF3C25003,Boudha,867844000749302,867844000749302,,11603,four wheeler,,Mahendra,Bolero,2072-Jestha-06,2072-02-06,2015-05-20
127,Worldlink Communications Ltd.,BA13CHA 2474,track-amala,G4F1C22705,MA1ZC4GAKF1C32191,Kusunti,358899058010524,358899058010524,,10202,four wheeler,,Mahendra,Bolero,2073-Baishakh-16,2073-01-16,2016-04-28
128,Worldlink Communications Ltd.,Bagmati pradesh  01 028 cha 1837,,TZ230XS56FJ22054557,MAT635013NLK13094,Operation,,,,,,,Tata Motors,Nexon EV XZ+ LUX,2079-Kartik-25,2079-07-25,2022-11-11
